Date,Temperature_C,Humidity_%,Pressure_hPa,WindSpeed_kmh,CloudCover_%,Visibility_km,WindDirection,Rainfall_mm,WeatherCondition,RainToday,RainTomorrow,HighHumidity,HighWind,HighCloudCover,LowPressure,TemperatureGroup
2025-01-01,30.0,47.8,1018.5,8.6,90,9.0,E,1.3,Cloudy,No,No,No,No,Yes,No,Moderate
2025-01-02,26.2,82.7,1025.4,5.2,78,10.5,W,12.1,Light Rain,Yes,Yes,Yes,No,Yes,No,Moderate
2025-01-03,30.9,98.0,1002.2,8.2,56,2.0,S,6.3,Light Rain,Yes,Yes,Yes,No,No,Yes,High
2025-01-04,36.1,84.5,1015.9,24.4,39,9.1,N,19.4,Light Rain,Yes,Yes,Yes,No,No,No,High
2025-01-05,25.6,43.7,1007.4,8.4,72,11.7,N,11.0,Light Rain,Yes,No,No,No,Yes,Yes,Moderate
2025-01-06,25.6,60.3,1008.6,37.1,65,4.4,E,0.8,Partly Cloudy,No,Yes,No,Yes,No,No,Moderate
2025-01-07,36.5,88.3,1007.9,19.9,77,13.0,W,4.7,Cloudy,Yes,No,Yes,No,Yes,Yes,High
2025-01-08,31.6,56.7,1006.0,17.5,71,9.3,SW,21.2,Heavy Rain,Yes,Yes,No,No,Yes,Yes,High
2025-01-09,24.2,75.1,1012.3,9.1,81,5.9,W,9.7,Light Rain,Yes,Yes,Yes,No,Yes,No,Moderate
2025-01-10,30.3,80.4,1006.2,21.6,42,7.8,S,0.9,Partly Cloudy,No,Yes,Yes,No,No,Yes,High
2025-01-11,24.2,53.2,1013.9,11.4,88,9.7,SE,48.4,Heavy Rain,Yes,Yes,No,No,Yes,No,Moderate
2025-01-12,24.2,67.0,1011.6,17.0,60,8.2,NE,0.7,Partly Cloudy,No,Yes,No,No,No,No,Moderate
2025-01-13,28.5,25.0,1010.3,36.5,100,9.6,E,0.2,Cloudy,No,Yes,No,Yes,Yes,No,Moderate
2025-01-14,15.5,51.6,1005.6,15.2,38,5.2,SE,12.2,Light Rain,Yes,Yes,No,No,No,Yes,Low
2025-01-15,16.7,64.0,1008.0,25.2,98,8.5,N,1.3,Cloudy,No,Yes,No,Yes,Yes,No,Low
2025-01-16,23.6,48.0,1017.3,10.4,60,3.8,E,1.2,Partly Cloudy,No,No,No,No,No,No,Moderate
2025-01-17,20.9,94.1,1015.5,15.7,39,7.7,S,2.3,Partly Cloudy,Yes,Yes,Yes,No,No,No,Moderate
2025-01-18,28.9,45.1,1005.2,30.2,43,5.3,SW,0.2,Partly Cloudy,No,No,No,Yes,No,Yes,Moderate
2025-01-19,21.6,61.0,1012.7,11.0,47,5.8,NW,2.0,Partly Cloudy,Yes,No,No,No,No,No,Moderate
2025-01-20,18.5,70.1,1017.3,30.5,66,11.7,NW,1.0,Partly Cloudy,No,Yes,Yes,Yes,No,No,Low
2025-01-21,35.8,91.1,1000.3,21.7,68,11.3,SW,14.1,Light Rain,Yes,Yes,Yes,No,No,Yes,High
2025-01-22,25.6,45.0,1015.8,11.5,41,9.8,SE,0.5,Partly Cloudy,No,No,No,No,No,No,Moderate
2025-01-23,27.4,86.6,1007.4,21.1,54,4.7,SW,10.2,Light Rain,Yes,Yes,Yes,No,No,Yes,Moderate
2025-01-24,18.5,68.2,1016.0,23.8,100,7.1,W,22.3,Heavy Rain,Yes,Yes,No,No,Yes,No,Low
2025-01-25,23.7,52.3,1006.7,21.0,98,11.6,NE,0.0,Cloudy,No,Yes,No,No,Yes,Yes,Moderate
2025-01-26,27.7,75.4,999.4,3.4,66,8.4,SE,3.3,Partly Cloudy,Yes,Yes,Yes,No,No,Yes,Moderate
2025-01-27,20.1,71.2,1000.6,10.2,56,15.0,W,0.2,Partly Cloudy,No,Yes,Yes,No,No,Yes,Moderate
2025-01-28,29.3,58.4,1012.3,14.0,58,9.2,SE,4.3,Partly Cloudy,Yes,Yes,No,No,No,No,Moderate
2025-01-29,23.4,69.1,1013.8,15.4,70,8.6,S,12.2,Light Rain,Yes,No,No,No,Yes,No,Moderate
2025-01-30,25.2,61.8,1005.7,21.0,29,7.1,S,25.7,Heavy Rain,Yes,Yes,No,No,No,Yes,Moderate
2025-01-31,23.4,69.8,1016.5,17.4,49,8.4,NE,0.3,Partly Cloudy,No,No,No,No,No,No,Moderate
