Sale_ID,Date,Store,Category,Product,Quantity,Unit_Price,Sales_Amount
1001,2026-01-05,Delhi,Grocery,Rice,10,55,550
1002,2026-01-07,Mumbai,Beverages,Juice,8,80,640
1003,2026-01-10,Chandigarh,Personal Care,Shampoo,5,120,600
1004,2026-01-12,Delhi,Grocery,Wheat Flour,12,45,540
1005,2026-01-15,Pune,Dairy,Milk,15,60,900
1006,2026-01-18,Mumbai,Beverages,Soft Drink,20,50,1000
1007,2026-01-20,Chandigarh,Grocery,Sugar,9,48,432
1008,2026-01-23,Delhi,Personal Care,Toothpaste,7,90,630
1009,2026-01-25,Pune,Dairy,Curd,10,70,700
1010,2026-01-28,Mumbai,Grocery,Cooking Oil,6,150,900
1011,2026-02-02,Delhi,Beverages,Tea,12,220,2640
1012,2026-02-05,Chandigarh,Dairy,Butter,8,75,600
1013,2026-02-08,Mumbai,Grocery,Biscuits,25,30,750
1014,2026-02-11,Pune,Personal Care,Face Wash,6,180,1080
1015,2026-02-14,Delhi,Grocery,Rice,14,55,770
1016,2026-02-17,Mumbai,Beverages,Coffee,10,250,2500
1017,2026-02-20,Chandigarh,Dairy,Milk,18,60,1080
1018,2026-02-23,Pune,Grocery,Pulses,9,110,990
1019,2026-02-26,Delhi,Personal Care,Soap,20,35,700
1020,2026-02-28,Mumbai,Beverages,Juice,15,80,1200
1021,2026-03-03,Chandigarh,Grocery,Sugar,11,48,528
1022,2026-03-06,Delhi,Dairy,Cheese,7,300,2100
1023,2026-03-09,Pune,Beverages,Soft Drink,18,50,900
1024,2026-03-12,Mumbai,Grocery,Cooking Oil,8,150,1200
1025,2026-03-15,Delhi,Personal Care,Shampoo,6,120,720
1026,2026-03-18,Chandigarh,Dairy,Curd,12,70,840
1027,2026-03-21,Mumbai,Grocery,Biscuits,30,30,900
1028,2026-03-24,Pune,Beverages,Tea,14,220,3080
1029,2026-03-27,Delhi,Grocery,Wheat Flour,10,45,450
1030,2026-03-30,Mumbai,Personal Care,Toothpaste,9,90,810
