Month,District,Traffic_Volume,AQI,Population,Waste_kg_day,Green_Cover_Percent,Water_LPCD,Electricity_kWh_Per_Month,Traffic_Accidents,Public_Transport_Percent
2025-01,Central,33795,137,153694,129533.0,31.9,100.3,217.4,12,52.6
2025-01,North,62131,148,66023,53502.0,10.3,173.9,405.3,3,35.9
2025-01,South,71707,102,209765,115964.0,8.9,148.2,276.0,29,83.4
2025-01,East,77150,95,117435,88745.0,31.7,86.0,325.8,22,52.0
2025-01,West,28627,133,289931,224788.0,23.4,82.1,235.4,29,51.4
2025-01,Industrial,66555,52,160510,99411.0,23.6,103.7,361.3,7,37.5
2025-01,Residential,70995,98,59692,55981.0,39.0,202.1,394.8,15,68.6
2025-01,University,29534,84,270884,191101.0,18.9,187.7,265.6,30,73.1
2025-01,Airport,66984,115,52568,45151.0,15.9,80.7,375.7,18,67.7
2025-01,Suburban,79858,77,62666,36322.0,22.3,95.1,387.1,9,52.0
2025-02,Central,70256,92,177478,119690.0,21.0,174.8,333.0,28,58.7
2025-02,North,26110,175,234064,196308.0,17.4,113.3,189.7,16,50.7
2025-02,South,41419,107,100015,80468.0,20.6,146.1,397.8,24,61.3
2025-02,East,51827,57,112623,88921.0,35.8,194.5,329.8,7,52.4
2025-02,West,43939,74,224013,171535.0,40.3,196.5,256.3,34,41.3
2025-02,Industrial,84842,165,142787,98670.0,20.2,101.4,308.2,34,32.2
2025-02,Residential,84199,103,143557,91518.0,30.3,132.5,195.6,13,40.1
2025-02,University,41664,145,266688,253113.0,18.7,207.0,278.6,24,41.7
2025-02,Airport,25392,173,227789,138486.0,27.6,208.1,238.1,5,29.9
2025-02,Suburban,30688,82,248935,183744.0,47.3,131.8,375.9,17,75.1
2025-03,Central,60107,114,101663,57573.0,31.6,168.1,184.0,4,73.6
2025-03,North,29411,140,248342,153909.0,35.6,130.3,404.8,2,65.5
2025-03,South,57384,195,71918,64793.0,18.3,165.8,376.1,3,84.8
2025-03,East,38932,81,79855,64143.0,21.6,125.4,354.2,4,76.4
2025-03,West,77040,196,210371,122784.0,14.5,196.8,325.5,36,47.3
2025-03,Industrial,56360,143,183272,101171.0,14.4,151.3,346.1,17,84.7
2025-03,Residential,56467,77,141412,87892.0,22.7,176.7,353.0,34,57.6
2025-03,University,58818,163,198501,128548.0,46.9,131.1,394.1,28,51.1
2025-03,Airport,66404,74,147888,115465.0,27.7,105.4,353.4,20,59.3
2025-03,Suburban,74491,202,93484,61870.0,43.3,177.2,408.7,30,50.7
2025-04,Central,63236,139,298930,281632.0,11.0,119.7,225.8,34,44.0
2025-04,North,44641,69,213817,197666.0,35.8,154.1,203.3,33,65.3
2025-04,South,36070,171,132074,88241.0,20.9,190.3,212.8,30,42.8
2025-04,East,67689,143,232065,208123.0,44.5,146.5,300.4,21,64.0
2025-04,West,24655,188,257501,233296.0,21.5,128.8,202.6,24,65.3
2025-04,Industrial,70921,107,176141,117066.0,31.6,84.0,189.0,7,43.2
2025-04,Residential,33338,145,163632,144184.0,18.9,205.5,289.7,7,28.1
2025-04,University,74179,138,250750,208074.0,13.5,97.3,412.7,31,27.5
2025-04,Airport,46251,102,162566,105724.0,15.4,90.5,282.8,13,49.5
2025-04,Suburban,84617,166,66896,48629.0,17.6,92.2,223.9,2,82.3
2025-05,Central,71222,113,163429,137610.0,9.9,153.6,218.1,23,25.9
2025-05,North,79389,113,225150,127501.0,42.2,171.5,293.8,27,70.8
2025-05,South,80752,145,76646,43629.0,46.0,195.3,242.6,11,62.6
2025-05,East,27823,45,91975,74820.0,14.5,89.2,334.2,29,60.1
2025-05,West,78890,128,199143,163470.0,30.9,96.7,374.7,13,48.2
2025-05,Industrial,56304,118,132986,83557.0,10.8,93.1,184.4,36,45.2
2025-05,Residential,43351,137,164585,135395.0,21.6,113.9,299.0,12,77.6
2025-05,University,51496,65,270156,179063.0,15.1,177.6,373.6,36,49.8
2025-05,Airport,55841,140,240103,215336.0,30.5,111.0,343.2,24,70.3
2025-05,Suburban,39352,74,161888,123639.0,27.9,130.7,251.4,20,48.4
2025-06,Central,34779,191,218011,150855.0,46.3,168.0,295.8,17,51.9
2025-06,North,29130,97,110566,95365.0,12.5,201.0,413.8,15,58.0
2025-06,South,27348,207,88102,67695.0,36.2,205.9,345.1,18,31.1
2025-06,East,19542,185,231415,134014.0,40.9,171.8,199.5,20,59.9
2025-06,West,60348,109,264357,231344.0,45.9,208.2,360.8,7,67.5
2025-06,Industrial,52578,152,284677,236861.0,17.9,122.9,284.3,14,49.3
2025-06,Residential,21709,102,80355,48014.0,12.7,164.4,359.1,14,39.3
2025-06,University,84040,157,73960,66375.0,16.9,205.2,182.9,33,58.4
2025-06,Airport,38559,162,143396,135823.0,11.0,152.0,412.6,19,35.0
2025-06,Suburban,70528,58,102638,97335.0,35.9,129.9,356.9,12,41.9
2025-07,Central,28975,60,71447,50571.0,12.3,123.6,220.7,37,52.8
2025-07,North,49921,72,208427,144677.0,18.4,138.9,187.8,10,43.6
2025-07,South,75043,201,77532,70893.0,40.9,203.5,354.2,26,50.1
2025-07,East,76141,153,218964,122740.0,23.1,185.4,416.9,12,60.6
2025-07,West,22158,130,56970,50524.0,41.5,140.9,279.6,2,25.8
2025-07,Industrial,65926,50,62763,54928.0,48.0,209.6,313.3,11,76.0
2025-07,Residential,31456,129,237469,150085.0,18.1,115.7,229.7,2,65.3
2025-07,University,54187,139,188311,105242.0,27.9,141.9,379.5,13,74.0
2025-07,Airport,42285,101,269536,162694.0,9.2,178.2,328.9,3,73.3
2025-07,Suburban,77494,82,288897,227064.0,23.7,136.9,397.0,34,72.0
2025-08,Central,70329,95,93088,86554.0,13.9,200.5,298.1,21,52.5
2025-08,North,32388,170,217658,170178.0,21.7,149.8,290.4,17,34.1
2025-08,South,29637,188,74071,46074.0,35.9,133.5,389.8,28,65.1
2025-08,East,46732,166,192386,108957.0,14.8,116.2,222.5,22,57.9
2025-08,West,34907,134,274301,190833.0,28.1,169.8,189.4,23,29.9
2025-08,Industrial,73645,151,200334,140417.0,8.1,192.9,200.3,36,36.1
2025-08,Residential,18302,171,181127,134724.0,32.7,128.0,291.0,27,27.2
2025-08,University,23126,47,68030,60395.0,38.0,84.0,388.1,36,48.8
2025-08,Airport,64271,163,161076,100336.0,30.6,189.3,201.4,26,78.4
2025-08,Suburban,24168,112,57561,49829.0,27.9,91.3,308.9,35,58.5
2025-09,Central,41275,127,262521,174185.0,22.5,164.0,317.0,7,61.3
2025-09,North,76656,194,273508,167153.0,17.8,100.9,224.8,31,35.4
2025-09,South,45446,181,194118,110774.0,8.7,170.6,419.3,7,48.9
2025-09,East,46746,48,268958,235830.0,18.3,102.2,340.5,3,58.4
2025-09,West,64514,88,187541,175763.0,36.4,105.9,356.7,13,31.9
2025-09,Industrial,60533,81,51917,31760.0,27.2,149.2,192.4,11,57.9
2025-09,Residential,27865,174,166748,137372.0,11.5,98.0,180.7,10,60.7
2025-09,University,44614,207,274861,162905.0,42.0,177.0,278.0,12,81.3
2025-09,Airport,23415,108,93925,53466.0,39.3,187.6,360.1,31,74.5
2025-09,Suburban,33524,49,200354,163505.0,28.9,126.6,390.5,26,66.0
2025-10,Central,77207,83,210359,147415.0,26.5,119.2,359.4,16,59.6
2025-10,North,52016,97,217527,139568.0,29.7,136.1,259.9,9,66.6
2025-10,South,74819,59,170430,136008.0,29.3,196.2,369.3,34,67.4
2025-10,East,50154,77,153677,97096.0,36.6,144.2,361.1,14,31.6
2025-10,West,82435,59,282604,216459.0,27.5,133.2,365.3,28,63.5
2025-10,Industrial,57666,208,280169,182311.0,21.8,103.6,398.0,7,49.1
2025-10,Residential,18814,134,126077,100355.0,44.5,98.1,204.2,34,26.1
2025-10,University,45306,144,261951,217068.0,44.9,171.9,216.6,29,47.5
2025-10,Airport,73176,95,286572,169564.0,41.6,198.4,209.5,22,34.9
2025-10,Suburban,65523,101,282448,253627.0,28.8,156.9,275.8,10,69.7
2025-11,Central,75545,101,283588,224457.0,12.6,133.9,387.2,3,52.9
2025-11,North,26666,206,86368,67784.0,9.3,198.7,239.6,26,54.9
2025-11,South,63765,132,96240,66883.0,31.2,162.2,183.1,22,55.9
2025-11,East,64163,149,230912,178477.0,42.4,149.6,224.3,8,60.7
2025-11,West,59949,167,214791,195293.0,16.2,104.8,188.8,31,75.2
2025-11,Industrial,36449,45,114077,95325.0,29.1,149.5,295.5,31,58.6
2025-11,Residential,83155,173,102487,91697.0,45.8,128.5,245.0,35,49.5
2025-11,University,44399,179,262316,187082.0,30.1,113.0,227.1,9,31.2
2025-11,Airport,57986,141,135595,87496.0,12.0,111.6,353.3,17,48.8
2025-11,Suburban,84358,51,54425,31795.0,16.3,83.4,223.5,37,63.6
2025-12,Central,26705,173,73236,50293.0,18.4,129.4,321.7,13,74.8
2025-12,North,51572,181,180273,161241.0,16.8,206.7,367.1,18,77.1
2025-12,South,37063,103,140093,103448.0,15.3,143.0,303.0,10,57.5
2025-12,East,78774,66,180282,129565.0,13.3,197.1,345.9,12,74.4
2025-12,West,79268,86,219315,164319.0,10.7,132.7,299.4,13,37.4
2025-12,Industrial,58809,130,242468,158931.0,18.7,175.2,240.2,8,59.4
2025-12,Residential,29664,198,151332,106425.0,28.8,86.1,219.9,2,30.0
2025-12,University,29555,159,259689,149918.0,41.5,136.8,399.7,36,82.0
2025-12,Airport,71302,155,249319,230553.0,37.3,107.9,187.5,21,34.7
2025-12,Suburban,49987,125,171789,160124.0,14.2,161.0,293.8,10,29.5
